sample_date,analyte,cfu_per_100ml,value_note,source
2025-05-22,Intestinal enterococci,10,,https://www.conhambathing.co.uk/sampling
2025-06-17,Intestinal enterococci,8,,https://www.conhambathing.co.uk/sampling
2025-07-09,Intestinal enterococci,8,,https://www.conhambathing.co.uk/sampling
2025-07-21,Intestinal enterococci,10,,https://www.conhambathing.co.uk/sampling
2025-07-26,Intestinal enterococci,90,,https://www.conhambathing.co.uk/sampling
2025-08-02,Intestinal enterococci,80,,https://www.conhambathing.co.uk/sampling
2025-08-09,Intestinal enterococci,160,,https://www.conhambathing.co.uk/sampling
2025-08-16,Intestinal enterococci,220,,https://www.conhambathing.co.uk/sampling
2025-08-23,Intestinal enterococci,30,,https://www.conhambathing.co.uk/sampling
2025-08-30,Intestinal enterococci,70,,https://www.conhambathing.co.uk/sampling
2025-09-06,Intestinal enterococci,460,,https://www.conhambathing.co.uk/sampling
2025-09-13,Intestinal enterococci,620,,https://www.conhambathing.co.uk/sampling
2025-09-20,Intestinal enterococci,620,,https://www.conhambathing.co.uk/sampling
2025-09-27,Intestinal enterococci,250,,https://www.conhambathing.co.uk/sampling
2025-10-04,Intestinal enterococci,50,,https://www.conhambathing.co.uk/sampling
2025-10-11,Intestinal enterococci,10,,https://www.conhambathing.co.uk/sampling
2025-10-18,Intestinal enterococci,10,,https://www.conhambathing.co.uk/sampling
2025-10-25,Intestinal enterococci,70,,https://www.conhambathing.co.uk/sampling
2025-11-01,Intestinal enterococci,160,,https://www.conhambathing.co.uk/sampling
2025-11-08,Intestinal enterococci,370,,https://www.conhambathing.co.uk/sampling
2025-11-22,Intestinal enterococci,320,,https://www.conhambathing.co.uk/sampling
2025-11-29,Intestinal enterococci,10,,https://www.conhambathing.co.uk/sampling
2025-12-04,Intestinal enterococci,160,,https://www.conhambathing.co.uk/sampling
2025-12-11,Intestinal enterococci,1000,lab maximum shown as >1000 on source page when exceeded,https://www.conhambathing.co.uk/sampling
2025-12-18,Intestinal enterococci,1000,lab maximum shown as >1000 on source page when exceeded,https://www.conhambathing.co.uk/sampling
